section,name,dest
1,28,S11C
1,32,S12C
1,31,S13C
1,30,S14C
1,29,S15C
1,33,S16C
1,34,S17C
3,35,S21
3,42,S22
3,36,S23
3,45,S24
3,40,S25
3,46,S26
3,44,S21C
3,37,S22C
3,43,S23C
3,38,S24C
3,41,S25M
3,39,S26C
5,46,S31
5,42,S32
5,41,S33
5,47,S34
5,43,S35
5,44,S36
5,53,S37
5,40,S31C
5,49,S32C
5,51,S33C
5,48,S34C
5,50,S35C
5,52,S36C
5,45,S37C
7,50,S41
7,51,S42
7,52,S43
7,53,S44
7,46,S41C
7,47,S42C
7,49,S43C
7,48,S44C
9,59,S51
9,56,S52
9,60,S53
9,61,S54
9,62,S55
9,55,S56
9,63,S57
9,64,S58
9,49,S51C
9,58,S52C
9,50,S53C
9,51,S54C
9,52,S55C
9,57,S56M
9,54,S57C
9,53,S58C
11,61,S61
11,62,S62
11,57,S63
11,67,S64
11,64,S65
11,60,S67
11,65,S68
11,55,S61C
11,56,S62C
11,63,S63C
11,68,S64C
11,58,S65C
11,66,S66C
11,59,S67C
